Test_Case_ID,AC · AC-1,AC · AC-2a,AC · AC-2b,AC · AC-2c,AC · AC-3a,END · POST /orch/api/v1/dipchip -> HTTP 200,END · POST /orch/api/v1/dipchip -> HTTP 400,EP · information.evidencePhoto` (base64 string) = valid base64 → valid JPEG ≤ 500 KB,EP · information.evidencePhoto` (base64 string) = not base64-decodable,EP · information.evidencePhoto` (base64 string) = valid base64 → valid PNG ≤ 500 KB,EP · information.evidencePhoto` (base64 string) = valid base64 → GIF bytes,EP · information.evidencePhoto` (base64 string) = absent / null / empty (optional for BaaS — D5),EP · information.evidencePhoto` (base64 string) = valid base64 → WebP bytes,EP · information.evidencePhoto` (base64 string) = valid base64 → BMP bytes,"EP · information.evidencePhoto` (base64 string) = valid base64 → random bytes (magic-bytes mismatch, D27)",EP · information.evidencePhoto` (base64 string) = truncated base64 (missing padding),EP · information.evidencePhoto` (base64 string) = whitespace-only string,"EP · information.evidencePhoto` (base64 string) = wrong type (number instead of string — schema-level shape, BQ1, not documented under VAL-evidence-001)",EP · information.evidencePhoto` (base64 string) = unicode/emoji in base64 field,EP · information.evidencePhoto` (base64 string) = injection payload,EP · x-devops-key` header = valid DevOps API key,EP · x-devops-key` header = missing,EP · x-devops-key` header = expired,EP · x-devops-key` header = malformed,RULE · VAL-evidence-001,"BVA · evidencePhoto` decoded size (KB=1000) max = 500,000 (accepted, D3)","BVA · evidencePhoto` decoded size (KB=1000) max+1 = 500,001 (rejected)","BVA · evidencePhoto` decoded size (KB=1024) max = 512,000 (accepted, D3)","BVA · evidencePhoto` decoded size (KB=1024) max+1 = 512,001 (rejected)",BVA · evidencePhoto` base64 string max = truncated (missing padding),BVA · evidencePhoto` presence min-1 = absent,BVA · evidencePhoto` presence min = null,"BVA · evidencePhoto` presence max = empty `""""`","BVA · evidencePhoto` presence max+1 = whitespace `""   ""`",DT (evidencePhoto validation outcome) · R1 = processed without photo (D5),DT (evidencePhoto validation outcome) · R2 = 104010,DT (evidencePhoto validation outcome) · R3 = 104001 (decode fail),DT (evidencePhoto validation outcome) · R4 = 104001 (format fail),DT (evidencePhoto validation outcome) · R5 = success → DOPA,ST · 0001 Initiate -> 0002 Processing (valid),ST · 0001 Initiate -> 0000 Success (invalid — must be rejected),ST · 0001 Initiate -> Failed (invalid — must be rejected),ST · 0002 Processing -> 0001 Initiate (invalid — must be rejected),ST · 0002 Processing -> 0000 Success (valid),ST · 0002 Processing -> Failed (valid),ST · 0000 Success -> 0001 Initiate (invalid — must be rejected),ST · 0000 Success -> 0002 Processing (invalid — must be rejected),ST · 0000 Success -> Failed (invalid — must be rejected),ST · Failed -> 0001 Initiate (invalid — must be rejected),ST · Failed -> 0002 Processing (invalid — must be rejected),ST · Failed -> 0000 Success (invalid — must be rejected),EXC A1 · null / field absent,"EXC A2 · empty string `""""`","EXC A3 · whitespace only `""   ""`",EXC A4 · over max length,EXC A5 · wrong type (number for string),EXC A6 · wrong format (not base64),"EXC A9 · unicode, emoji, RTL",EXC A11 · injection payloads,EXC A13 · oversized payload,EXC B1 · no token / no session,EXC B2 · expired token,EXC B3 · malformed token,EXC C3 · invalid state transition,EXC F1 · limit / quota exceeded,RULE · VAL-evidence-002,RULE · VAL-order-001
TC-REQ001-US001-001,x,,,,,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC-REQ001-US001-002,x,,,,,x,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC-REQ001-US001-003,,x,,,,,x,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
TC-REQ001-US001-004,,,x,,,,x,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC-REQ001-US001-005,,,x,,,,x,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC-REQ001-US001-006,,,x,,,,x,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC-REQ001-US001-007,,,x,,,,x,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC-REQ001-US001-008,x,,,,x,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
TC-REQ001-US001-009,,,,,x,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,
TC-REQ001-US001-010,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
TC-REQ001-US001-011,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,x,,
TC-REQ001-US001-012,,x,,,,,x,,,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC-REQ001-US001-013,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
TC-REQ001-US001-014,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
TC-REQ001-US001-015,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
TC-REQ001-US001-016,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
TC-REQ001-US001-017,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
TC-REQ001-US001-018,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
TC-REQ001-US001-019,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
TC-REQ001-US001-020,,x,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
TC-REQ001-US001-021,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
TC-REQ001-US001-022,,x,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
TC-REQ001-US001-023,,x,,,,,x,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
TC-REQ001-US001-024,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
TC-REQ001-US001-025,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
TC-REQ001-US001-026,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
TC-REQ001-US001-027,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
